title,brand,manufacturer,description,images,price,time,asin,stars,ratings_quantity,is_empty,id,category,method,is_valid
True,True,True,True,True,True,9.834714889526367,B00S1TC442,True,True,False,56,home_and_kitchen,RAINFOREST,False
True,True,True,True,True,True,7.948207855224609,B08KXKVT4K,True,True,False,57,home_and_kitchen,RAINFOREST,False
True,True,True,True,True,True,11.001011848449707,B07VQZSLDW,True,True,False,58,home_and_kitchen,RAINFOREST,False
True,True,True,True,True,True,9.722003936767578,B07NYR18X4,True,True,False,59,home_and_kitchen,RAINFOREST,False
True,True,True,True,True,True,9.314010858535767,B08YDJS51B,True,True,False,60,home_and_kitchen,RAINFOREST,False
True,True,False,True,True,True,7.508313179016113,B005BV0DD2,True,True,False,61,home_and_kitchen,RAINFOREST,False
True,True,True,True,True,True,10.416630983352661,B07JMDYDVJ,True,True,False,62,home_and_kitchen,RAINFOREST,False
True,True,True,True,True,True,7.315422773361206,B0CWRHLCBP,True,True,False,63,home_and_kitchen,RAINFOREST,False
True,True,True,True,True,True,9.237038135528564,B07XFQVN57,True,True,False,64,home_and_kitchen,RAINFOREST,False
True,True,True,True,True,True,10.364938020706177,B07BYCHMVY,True,True,False,65,home_and_kitchen,RAINFOREST,False
True,True,True,True,True,True,15.604434251785278,B0C4Z6SKCS,True,True,False,66,home_and_kitchen,RAINFOREST,False
True,True,True,True,True,True,9.699855089187622,B0B7WQVYGF,True,True,False,67,home_and_kitchen,RAINFOREST,False
True,True,False,True,True,False,8.39340591430664,B09K4SWZNY,True,True,False,68,home_and_kitchen,RAINFOREST,False
True,True,True,True,True,True,10.209085941314697,B0BZR6YBHK,True,True,False,69,home_and_kitchen,RAINFOREST,False
True,True,False,True,True,True,7.807017803192139,B0973DGD8P,True,True,False,70,home_and_kitchen,RAINFOREST,False
True,True,False,True,True,True,7.463286876678467,B092VC7VK2,True,True,False,71,home_and_kitchen,RAINFOREST,False
True,True,True,True,True,True,18.053637981414795,B073H8STZ7,True,True,False,72,home_and_kitchen,RAINFOREST,False
True,True,False,True,True,True,16.54320001602173,B08HVJQ2YP,True,True,False,73,home_and_kitchen,RAINFOREST,False
True,True,True,True,True,True,10.628941059112549,B07X3BX7WM,True,True,False,74,home_and_kitchen,RAINFOREST,False
True,True,True,True,True,True,9.400753021240234,B00JH98GR4,True,True,False,75,home_and_kitchen,RAINFOREST,False
True,True,True,True,True,True,16.688152074813843,B09NXMDPS1,True,True,False,76,home_and_kitchen,RAINFOREST,False
True,True,True,True,True,True,12.108561992645264,B0BHBP1X1B,True,True,False,77,home_and_kitchen,RAINFOREST,False
True,True,False,True,True,True,9.035433053970337,B078YD8YRD,True,True,False,78,home_and_kitchen,RAINFOREST,False
True,True,True,True,True,True,25.475866079330444,B0158EQJSY,True,True,False,79,home_and_kitchen,RAINFOREST,False
True,True,True,True,True,True,11.15145206451416,B0BNYR7MQV,True,True,False,80,home_and_kitchen,RAINFOREST,False
True,True,True,True,True,True,7.2716920375823975,B01M7WZFAS,True,True,False,81,home_and_kitchen,RAINFOREST,False
True,True,True,True,True,True,17.134093046188354,B01NB05WI5,True,True,False,82,home_and_kitchen,RAINFOREST,False
True,True,True,True,True,True,7.958284139633179,B0C9ZQ434J,True,True,False,83,home_and_kitchen,RAINFOREST,False
True,True,True,True,True,True,8.884525060653687,B0CRQHVP6Q,True,True,False,84,home_and_kitchen,RAINFOREST,False
True,True,True,True,True,True,8.947739839553833,B00IE76Q7M,True,True,False,85,home_and_kitchen,RAINFOREST,False
True,True,False,True,True,True,10.43884015083313,B07ZSWRKZY,True,True,False,86,home_and_kitchen,RAINFOREST,False
True,True,True,True,True,True,12.910736799240112,B0BN3Y8D9H,True,True,False,87,home_and_kitchen,RAINFOREST,False
True,True,True,True,True,True,10.361863136291504,B09WXZWSN3,True,True,False,88,home_and_kitchen,RAINFOREST,False
True,True,True,True,True,True,11.863424062728882,B0CQVWW5QK,True,True,False,89,home_and_kitchen,RAINFOREST,False
True,True,True,True,True,True,9.11007285118103,B09CYLZPYP,True,True,False,90,home_and_kitchen,RAINFOREST,False
True,True,True,True,True,False,14.78394865989685,B00126IUZI,True,True,False,91,home_and_kitchen,RAINFOREST,False
True,True,False,True,True,False,17.715209007263184,B097CZCDQG,True,True,False,92,home_and_kitchen,RAINFOREST,False
True,True,True,True,True,True,8.528924942016602,B0CQ8RSTC9,True,True,False,93,home_and_kitchen,RAINFOREST,False
True,True,False,True,True,True,7.288227081298828,B0C294ZLTR,True,True,False,94,home_and_kitchen,RAINFOREST,False
True,True,True,True,True,True,9.350874900817871,B0764HS4SL,True,True,False,95,home_and_kitchen,RAINFOREST,False
True,True,True,True,True,True,9.11246395111084,B00030L5HY,True,True,False,96,home_and_kitchen,RAINFOREST,False
True,True,True,True,True,True,11.893900156021118,B087JJ3M15,True,True,False,97,home_and_kitchen,RAINFOREST,False
True,True,True,True,True,True,8.145252704620361,B0CJF94M8J,True,True,False,98,home_and_kitchen,RAINFOREST,False
True,True,True,True,True,True,13.060778141021729,B0BJL5MYG8,True,True,False,99,home_and_kitchen,RAINFOREST,False
True,True,True,True,True,True,13.622826099395752,B09TT9TFSN,True,True,False,100,home_and_kitchen,RAINFOREST,False
True,True,True,True,True,False,8.426416158676147,B074PVTPBW,True,True,False,101,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,True,9.411457777023315,B07PBXXNCY,True,True,False,102,beauty_and_personal_care,RAINFOREST,False
