asin,captcha,title,brand,manufacturer,description,images,price,stars,ratings_quantity,time,is_empty,id,category,method,is_valid
B08LBN2JPS,False,True,True,False,True,True,True,True,True,4.163007974624634,False,48,home_and_kitchen,SELENIUM_CAPTCHA,False
B0C3PDTYYX,False,True,True,False,True,True,True,True,True,4.18928599357605,False,49,home_and_kitchen,SELENIUM_CAPTCHA,False
B09T3T1FYN,False,True,True,False,True,True,True,True,True,4.221962928771973,False,50,home_and_kitchen,SELENIUM_CAPTCHA,False
B0C6FCKQML,False,True,True,False,True,True,True,True,True,4.0571229457855225,False,51,home_and_kitchen,SELENIUM_CAPTCHA,False
B00730QW70,True,True,True,False,True,True,False,True,True,3.331663131713867,False,52,home_and_kitchen,SELENIUM_CAPTCHA,False
B08DTH86Q2,False,True,True,False,True,True,True,True,True,3.8795039653778076,False,53,home_and_kitchen,SELENIUM_CAPTCHA,False
B081YQBPSS,False,True,True,False,True,True,True,True,True,3.5236599445343018,False,54,home_and_kitchen,SELENIUM_CAPTCHA,False
B01H65F6A0,False,True,True,False,True,True,True,True,True,4.139628171920776,False,55,home_and_kitchen,SELENIUM_CAPTCHA,False
B00S1TC442,False,True,True,False,True,True,True,True,True,3.721449851989746,False,56,home_and_kitchen,SELENIUM_CAPTCHA,False
B08KXKVT4K,False,True,True,False,True,True,True,True,True,4.303070068359375,False,57,home_and_kitchen,SELENIUM_CAPTCHA,False
B07VQZSLDW,False,True,True,False,True,True,True,True,True,4.30927586555481,False,58,home_and_kitchen,SELENIUM_CAPTCHA,False
B07NYR18X4,False,True,True,False,True,True,True,True,True,3.9584579467773438,False,59,home_and_kitchen,SELENIUM_CAPTCHA,False
B08YDJS51B,True,True,True,False,True,True,False,True,True,2.921574831008911,False,60,home_and_kitchen,SELENIUM_CAPTCHA,False
B005BV0DD2,True,True,True,False,True,True,False,True,True,3.195842981338501,False,61,home_and_kitchen,SELENIUM_CAPTCHA,False
B07JMDYDVJ,True,True,True,False,True,True,False,True,True,3.2551398277282715,False,62,home_and_kitchen,SELENIUM_CAPTCHA,False
B0CWRHLCBP,True,True,True,False,True,True,False,True,True,3.5666871070861816,False,63,home_and_kitchen,SELENIUM_CAPTCHA,False
B07XFQVN57,False,True,True,False,True,True,True,True,True,4.219754934310913,False,64,home_and_kitchen,SELENIUM_CAPTCHA,False
B07BYCHMVY,True,True,True,False,True,True,False,True,True,3.1659529209136963,False,65,home_and_kitchen,SELENIUM_CAPTCHA,False
B0C4Z6SKCS,True,True,True,False,True,True,False,True,True,3.0046021938323975,False,66,home_and_kitchen,SELENIUM_CAPTCHA,False
B0B7WQVYGF,False,True,True,False,True,True,True,True,True,4.655441045761108,False,67,home_and_kitchen,SELENIUM_CAPTCHA,False
B09K4SWZNY,True,True,True,False,True,True,False,True,True,2.9227819442749023,False,68,home_and_kitchen,SELENIUM_CAPTCHA,False
B0BZR6YBHK,True,True,True,False,True,True,False,True,True,3.2253317832946777,False,69,home_and_kitchen,SELENIUM_CAPTCHA,False
B0973DGD8P,False,True,True,False,True,True,True,True,True,4.084808826446533,False,70,home_and_kitchen,SELENIUM_CAPTCHA,False
B092VC7VK2,True,True,True,False,True,True,False,True,True,2.8598430156707764,False,71,home_and_kitchen,SELENIUM_CAPTCHA,False
B073H8STZ7,False,True,True,False,True,True,True,True,True,4.390038013458252,False,72,home_and_kitchen,SELENIUM_CAPTCHA,False
B08HVJQ2YP,False,True,True,False,True,True,True,True,True,3.849735975265503,False,73,home_and_kitchen,SELENIUM_CAPTCHA,False
B07X3BX7WM,False,True,True,False,True,True,True,True,True,4.0786168575286865,False,74,home_and_kitchen,SELENIUM_CAPTCHA,False
B00JH98GR4,False,True,True,False,True,True,True,True,True,3.7127368450164795,False,75,home_and_kitchen,SELENIUM_CAPTCHA,False
B09NXMDPS1,False,True,True,False,True,True,True,True,True,3.710693836212158,False,76,home_and_kitchen,SELENIUM_CAPTCHA,False
B0BHBP1X1B,False,True,True,False,True,True,True,True,True,4.00387716293335,False,77,home_and_kitchen,SELENIUM_CAPTCHA,False
B078YD8YRD,False,True,True,False,True,True,True,True,True,3.6519339084625244,False,78,home_and_kitchen,SELENIUM_CAPTCHA,False
B0158EQJSY,False,True,True,False,True,True,True,True,True,4.206437826156616,False,79,home_and_kitchen,SELENIUM_CAPTCHA,False
B0BNYR7MQV,False,True,True,False,True,True,True,True,True,3.673419952392578,False,80,home_and_kitchen,SELENIUM_CAPTCHA,False
B01M7WZFAS,False,True,True,False,True,True,True,True,True,3.4888100624084473,False,81,home_and_kitchen,SELENIUM_CAPTCHA,False
B01NB05WI5,False,True,True,False,True,True,True,True,True,3.6684868335723877,False,82,home_and_kitchen,SELENIUM_CAPTCHA,False
B0C9ZQ434J,False,True,True,False,True,True,True,True,True,3.8456192016601562,False,83,home_and_kitchen,SELENIUM_CAPTCHA,False
B0CRQHVP6Q,False,True,True,False,True,True,True,True,False,3.890775203704834,False,84,home_and_kitchen,SELENIUM_CAPTCHA,False
B00IE76Q7M,False,True,True,False,True,True,True,True,True,3.2354681491851807,False,85,home_and_kitchen,SELENIUM_CAPTCHA,False
B07ZSWRKZY,False,True,True,False,True,True,True,True,True,3.7315618991851807,False,86,home_and_kitchen,SELENIUM_CAPTCHA,False
B0BN3Y8D9H,True,True,False,False,True,True,False,True,True,3.221431016921997,False,87,home_and_kitchen,SELENIUM_CAPTCHA,False
B09WXZWSN3,False,True,True,False,True,True,True,True,True,3.636977195739746,False,88,home_and_kitchen,SELENIUM_CAPTCHA,False
B0CQVWW5QK,False,True,True,False,True,True,True,True,True,3.61199688911438,False,89,home_and_kitchen,SELENIUM_CAPTCHA,False
B09CYLZPYP,False,True,True,False,True,True,True,True,True,3.927635908126831,False,90,home_and_kitchen,SELENIUM_CAPTCHA,False
B00126IUZI,True,True,True,False,True,True,False,True,True,3.0401320457458496,False,91,home_and_kitchen,SELENIUM_CAPTCHA,False
B097CZCDQG,True,True,True,False,True,True,False,True,True,3.2152509689331055,False,92,home_and_kitchen,SELENIUM_CAPTCHA,False
B0CQ8RSTC9,False,True,True,False,True,True,True,True,True,3.8520870208740234,False,93,home_and_kitchen,SELENIUM_CAPTCHA,False
B0C294ZLTR,False,True,False,False,True,True,True,True,False,3.389219045639038,False,94,home_and_kitchen,SELENIUM_CAPTCHA,False
B0764HS4SL,False,True,True,False,True,True,True,True,True,3.8877620697021484,False,95,home_and_kitchen,SELENIUM_CAPTCHA,False
B00030L5HY,True,True,True,False,True,True,False,True,True,3.5075528621673584,False,96,home_and_kitchen,SELENIUM_CAPTCHA,False
B087JJ3M15,False,True,True,False,True,True,True,True,True,4.2301108837127686,False,97,home_and_kitchen,SELENIUM_CAPTCHA,False
B0CJF94M8J,False,True,True,False,True,True,True,True,True,3.5910892486572266,False,98,home_and_kitchen,SELENIUM_CAPTCHA,False
B0BJL5MYG8,False,True,True,False,True,True,True,True,True,4.165325164794922,False,99,home_and_kitchen,SELENIUM_CAPTCHA,False
B09TT9TFSN,False,True,True,False,True,True,True,True,True,3.8269078731536865,False,100,home_and_kitchen,SELENIUM_CAPTCHA,False
B074PVTPBW,True,True,True,False,True,True,False,True,True,3.2834959030151367,False,101,beauty_and_personal_care,SELENIUM_CAPTCHA,False
B07PBXXNCY,False,True,True,False,True,True,True,True,True,4.217177152633667,False,102,beauty_and_personal_care,SELENIUM_CAPTCHA,False
B081KL2QYJ,True,True,True,False,True,True,False,True,True,2.909165143966675,False,103,beauty_and_personal_care,SELENIUM_CAPTCHA,False
B08KT2Z93D,False,True,True,False,True,True,True,True,True,3.7583200931549072,False,104,beauty_and_personal_care,SELENIUM_CAPTCHA,False
B00U2VQZDS,False,True,True,False,True,True,True,True,True,4.100604057312012,False,105,beauty_and_personal_care,SELENIUM_CAPTCHA,False
B00T0C9XRK,False,True,True,False,True,True,True,True,True,3.097975969314575,False,106,beauty_and_personal_care,SELENIUM_CAPTCHA,False
B0B2RM68G2,False,True,True,False,True,True,True,True,True,3.70462703704834,False,107,beauty_and_personal_care,SELENIUM_CAPTCHA,False
B09541P9WH,False,True,True,False,True,True,True,True,True,3.776761054992676,False,108,beauty_and_personal_care,SELENIUM_CAPTCHA,False
B00AINMFAC,True,True,True,False,True,True,False,True,True,3.533125877380371,False,109,beauty_and_personal_care,SELENIUM_CAPTCHA,False
B01AXQP6AE,False,True,True,False,True,True,True,True,True,4.015920877456665,False,110,beauty_and_personal_care,SELENIUM_CAPTCHA,False
B0B9HMX9VC,False,True,True,False,False,True,True,True,True,3.9853179454803467,False,111,beauty_and_personal_care,SELENIUM_CAPTCHA,False
B01N9SPQHQ,True,True,True,False,False,True,False,True,True,4.107322692871094,False,112,beauty_and_personal_care,SELENIUM_CAPTCHA,False
B0CDH47BN9,False,True,True,False,True,True,True,True,True,4.128215074539185,False,113,beauty_and_personal_care,SELENIUM_CAPTCHA,False
B00MEDOY2G,False,True,True,False,True,True,True,True,True,4.069597244262695,False,114,beauty_and_personal_care,SELENIUM_CAPTCHA,False
B07N7PK9QK,True,True,True,False,True,True,False,True,True,3.402311086654663,False,115,beauty_and_personal_care,SELENIUM_CAPTCHA,False
B09VFKGL92,False,True,True,False,True,True,True,True,True,3.827812671661377,False,116,beauty_and_personal_care,SELENIUM_CAPTCHA,False
B00TTD9BRC,False,True,True,False,True,True,True,True,True,3.958622932434082,False,117,beauty_and_personal_care,SELENIUM_CAPTCHA,False
B09542G9ZN,False,True,True,False,True,True,True,True,True,3.837229013442993,False,118,beauty_and_personal_care,SELENIUM_CAPTCHA,False
B08H3JPH74,False,True,True,False,True,True,True,True,True,4.147937059402466,False,119,beauty_and_personal_care,SELENIUM_CAPTCHA,False
B0BT1WL6KY,False,True,True,False,True,True,True,True,True,4.305730104446411,False,120,beauty_and_personal_care,SELENIUM_CAPTCHA,False
B0787GLBMV,False,True,True,False,True,True,True,True,True,4.469779014587402,False,121,beauty_and_personal_care,SELENIUM_CAPTCHA,False
B00PBX3L7K,True,True,False,False,True,True,False,True,True,3.335625410079956,False,122,beauty_and_personal_care,SELENIUM_CAPTCHA,False
B00949CTQQ,False,True,True,False,False,True,True,True,True,3.854435920715332,False,123,beauty_and_personal_care,SELENIUM_CAPTCHA,False
B0BX2TZZWG,False,True,True,False,True,True,True,True,True,3.6478357315063477,False,124,beauty_and_personal_care,SELENIUM_CAPTCHA,False
B010GNWPMQ,False,True,True,False,True,True,True,True,True,3.8123257160186768,False,125,beauty_and_personal_care,SELENIUM_CAPTCHA,False
B07BMYD4NX,False,True,True,False,True,True,True,True,True,3.754850149154663,False,126,beauty_and_personal_care,SELENIUM_CAPTCHA,False
B09MFMCTRK,False,True,True,False,True,True,True,True,True,4.184362173080444,False,127,beauty_and_personal_care,SELENIUM_CAPTCHA,False
B07QZ5CTTF,True,True,True,False,True,True,False,True,True,2.942997932434082,False,128,beauty_and_personal_care,SELENIUM_CAPTCHA,False
B07RK4HST7,False,True,True,False,True,True,True,True,True,4.421741724014282,False,129,beauty_and_personal_care,SELENIUM_CAPTCHA,False
B00SNPCSUY,False,True,True,False,True,True,True,True,True,3.9587368965148926,False,130,beauty_and_personal_care,SELENIUM_CAPTCHA,False
B01MSSDEPK,False,True,True,False,True,True,True,True,True,4.036994218826294,False,131,beauty_and_personal_care,SELENIUM_CAPTCHA,False
B08H4FSGDX,True,True,True,False,True,True,False,True,True,3.524372100830078,False,132,beauty_and_personal_care,SELENIUM_CAPTCHA,False
B09SP2XHKT,False,True,True,False,True,True,True,True,True,4.114412069320679,False,133,beauty_and_personal_care,SELENIUM_CAPTCHA,False
B01BMMOAFU,False,True,True,False,True,True,True,True,True,3.8693718910217285,False,134,beauty_and_personal_care,SELENIUM_CAPTCHA,False
B0BVPNQW1C,False,True,True,False,True,True,True,True,True,3.8557491302490234,False,135,beauty_and_personal_care,SELENIUM_CAPTCHA,False
B000IEMGGE,False,True,False,False,True,True,True,True,True,3.905184745788574,False,136,beauty_and_personal_care,SELENIUM_CAPTCHA,False
B088W7L534,False,True,True,False,True,True,True,True,True,4.266581058502197,False,137,beauty_and_personal_care,SELENIUM_CAPTCHA,False
B0CMJXGCFQ,False,True,True,False,True,True,True,True,True,4.395424842834473,False,138,beauty_and_personal_care,SELENIUM_CAPTCHA,False
B004Y9GTOO,False,True,False,False,True,True,True,True,True,3.9508659839630127,False,139,beauty_and_personal_care,SELENIUM_CAPTCHA,False
B079FV6PRH,False,True,True,False,True,True,True,True,True,4.0271828174591064,False,140,beauty_and_personal_care,SELENIUM_CAPTCHA,False
B08SNSSTPZ,False,True,False,False,False,True,True,True,True,3.9598610401153564,False,141,beauty_and_personal_care,SELENIUM_CAPTCHA,False
B000H3EO3O,False,True,True,False,True,True,True,True,True,3.8968849182128906,False,142,beauty_and_personal_care,SELENIUM_CAPTCHA,False
B07GKVBQDG,False,True,True,False,True,True,True,True,True,4.436520099639893,False,143,beauty_and_personal_care,SELENIUM_CAPTCHA,False
B0BLXZ4YBJ,False,True,False,False,False,True,True,True,True,3.5214500427246094,False,144,beauty_and_personal_care,SELENIUM_CAPTCHA,False
B01HTJTMF8,False,True,True,False,True,True,True,True,True,3.798504114151001,False,145,beauty_and_personal_care,SELENIUM_CAPTCHA,False
B09W18N3GT,True,True,True,False,False,True,False,True,True,2.816636323928833,False,146,beauty_and_personal_care,SELENIUM_CAPTCHA,False
B07GB3NVN1,False,True,True,False,True,True,True,True,True,4.275463104248047,False,147,beauty_and_personal_care,SELENIUM_CAPTCHA,False
B0054LHI5A,False,True,True,False,True,True,True,True,True,4.108858823776245,False,148,beauty_and_personal_care,SELENIUM_CAPTCHA,False
B06XF2TR11,False,True,True,False,True,True,True,True,True,3.8630008697509766,False,149,beauty_and_personal_care,SELENIUM_CAPTCHA,False
