asin,title,brand,manufacturer,description,images,price,time,is_empty,id,category,method,is_valid
B07JMDYDVJ,True,True,True,True,True,True,0.5333001613616943,False,62,home_and_kitchen,SPAPI,False
B0CWRHLCBP,True,True,True,True,True,True,0.5237293243408203,False,63,home_and_kitchen,SPAPI,False
B07XFQVN57,True,True,True,True,True,True,0.532249927520752,False,64,home_and_kitchen,SPAPI,False
B07BYCHMVY,True,True,True,True,True,True,0.5166647434234619,False,65,home_and_kitchen,SPAPI,False
B0C4Z6SKCS,True,True,True,True,True,True,0.5130090713500977,False,66,home_and_kitchen,SPAPI,False
B0B7WQVYGF,True,True,True,True,True,True,0.542874813079834,False,67,home_and_kitchen,SPAPI,False
B09K4SWZNY,True,True,True,True,True,True,0.5239779949188232,False,68,home_and_kitchen,SPAPI,False
B0BZR6YBHK,True,True,True,True,True,True,0.5171499252319336,False,69,home_and_kitchen,SPAPI,False
B0973DGD8P,True,True,True,True,True,True,0.5089881420135498,False,70,home_and_kitchen,SPAPI,False
B092VC7VK2,True,True,True,True,True,True,0.5186622142791748,False,71,home_and_kitchen,SPAPI,False
B073H8STZ7,True,True,True,True,True,True,0.512847900390625,False,72,home_and_kitchen,SPAPI,False
B08HVJQ2YP,True,True,True,True,True,True,0.5624091625213623,False,73,home_and_kitchen,SPAPI,False
B07X3BX7WM,True,True,True,True,True,True,0.5118899345397949,False,74,home_and_kitchen,SPAPI,False
B00JH98GR4,True,True,True,True,True,True,0.5245640277862549,False,75,home_and_kitchen,SPAPI,False
B09NXMDPS1,True,True,True,True,True,True,0.540395975112915,False,76,home_and_kitchen,SPAPI,False
B0BHBP1X1B,True,True,True,True,True,True,0.5719659328460693,False,77,home_and_kitchen,SPAPI,False
B078YD8YRD,True,True,True,True,True,True,0.5239229202270508,False,78,home_and_kitchen,SPAPI,False
B0158EQJSY,True,True,True,True,True,True,0.5090169906616211,False,79,home_and_kitchen,SPAPI,False
B0BNYR7MQV,True,True,True,True,True,True,0.5215840339660645,False,80,home_and_kitchen,SPAPI,False
B01M7WZFAS,True,True,True,True,True,True,0.5199270248413086,False,81,home_and_kitchen,SPAPI,False
B01NB05WI5,True,True,True,True,True,True,0.517125129699707,False,82,home_and_kitchen,SPAPI,False
B0C9ZQ434J,True,True,True,True,True,True,0.5158562660217285,False,83,home_and_kitchen,SPAPI,False
B0CRQHVP6Q,True,True,True,True,True,True,0.5329771041870117,False,84,home_and_kitchen,SPAPI,False
B00IE76Q7M,True,True,True,True,True,True,0.522648811340332,False,85,home_and_kitchen,SPAPI,False
B07ZSWRKZY,True,True,True,True,True,True,0.5056281089782715,False,86,home_and_kitchen,SPAPI,False
B0BN3Y8D9H,True,True,True,True,True,True,0.5205769538879395,False,87,home_and_kitchen,SPAPI,False
B09WXZWSN3,True,True,True,True,True,True,0.5210180282592773,False,88,home_and_kitchen,SPAPI,False
B0CQVWW5QK,True,True,True,True,True,True,0.5165572166442871,False,89,home_and_kitchen,SPAPI,False
B09CYLZPYP,True,True,True,True,True,True,1.5203630924224854,False,90,home_and_kitchen,SPAPI,False
B00126IUZI,True,True,True,True,True,True,0.5118730068206787,False,91,home_and_kitchen,SPAPI,False
B097CZCDQG,True,True,True,True,True,True,0.5167639255523682,False,92,home_and_kitchen,SPAPI,False
B0CQ8RSTC9,True,True,True,True,True,True,0.5100159645080566,False,93,home_and_kitchen,SPAPI,False
B0C294ZLTR,True,True,False,True,True,True,0.5278267860412598,False,94,home_and_kitchen,SPAPI,False
B0764HS4SL,True,True,True,True,True,True,0.5271987915039062,False,95,home_and_kitchen,SPAPI,False
B00030L5HY,True,True,True,True,True,True,0.5212857723236084,False,96,home_and_kitchen,SPAPI,False
B087JJ3M15,True,True,True,True,True,True,0.5185320377349854,False,97,home_and_kitchen,SPAPI,False
B0CJF94M8J,True,True,True,True,True,True,0.5229532718658447,False,98,home_and_kitchen,SPAPI,False
B0BJL5MYG8,True,True,True,True,True,True,0.5080230236053467,False,99,home_and_kitchen,SPAPI,False
B09TT9TFSN,True,True,True,True,True,True,0.5307211875915527,False,100,home_and_kitchen,SPAPI,False
B074PVTPBW,True,True,True,True,True,True,0.5436921119689941,False,101,beauty_and_personal_care,SPAPI,False
B07PBXXNCY,True,True,True,True,True,True,0.5132348537445068,False,102,beauty_and_personal_care,SPAPI,False
B081KL2QYJ,True,True,True,True,True,True,0.5394189357757568,False,103,beauty_and_personal_care,SPAPI,False
B08KT2Z93D,True,True,True,True,True,True,0.5162780284881592,False,104,beauty_and_personal_care,SPAPI,False
B00U2VQZDS,True,True,True,True,True,True,0.5288236141204834,False,105,beauty_and_personal_care,SPAPI,False
