asin,title,brand,manufacturer,description,images,price,stars,ratings_quantity,time,is_empty,id,category,method,is_valid
B08NJ6VF9T,True,False,False,True,True,False,True,True,2.3471832275390625,False,43,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B0113UZJE2,True,False,False,True,True,True,True,True,4.689756870269775,False,44,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B00LS9UD2M,False,False,False,False,False,False,False,False,7.510335922241211,True,45,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B0CBP8CL71,True,False,False,True,True,True,True,True,3.6142797470092773,False,46,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B06X421WJ6,False,False,False,False,False,False,False,False,7.494112014770508,True,47,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B08LBN2JPS,True,False,False,True,True,True,True,True,5.955952882766724,False,48,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B0C3PDTYYX,True,False,False,True,True,True,True,True,3.525775909423828,False,49,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B09T3T1FYN,True,False,False,True,True,True,True,True,7.253492832183838,False,50,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B0C6FCKQML,True,False,False,True,True,True,True,True,6.677701950073242,False,51,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B00730QW70,True,False,False,True,True,False,True,True,3.015062093734741,False,52,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B08DTH86Q2,True,False,False,True,True,True,True,True,3.1457459926605225,False,53,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B081YQBPSS,True,False,False,True,True,True,True,True,7.459058046340942,False,54,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B01H65F6A0,True,False,False,True,True,True,True,True,7.176067113876343,False,55,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B00S1TC442,True,False,False,True,True,True,True,True,6.769688129425049,False,56,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
